,signal_001,signal_002,signal_003,signal_004,signal_005,signal_006,signal_007,signal_008,signal_009,signal_010,signal_011,signal_012,signal_013,signal_014
00:01:16,1.420346022,28.73557091,0.503347278,0.503347278,1.704617977,0.088282123,147.5471039,18.21871948,24.50606918,0.5,0.006775334,0.0,996.7365723,0.006775334
00:01:17,1.49147296,28.7343998,0.503317773,0.503317773,1.704893947,0.079813309,147.4230957,18.21871948,24.50606918,0.5,0.005514021,0.0,996.7368164,0.0
00:01:18,1.481207967,28.73323059,0.503288329,0.503288329,1.709262013,0.071344487,147.3372955,18.21873093,24.50606918,0.5,0.004252708,0.0,996.7369995,0.0
00:01:19,1.467128038,28.73205948,0.503258824,0.503258824,1.704244971,0.062875681,147.4445953,18.21873093,24.60032082,0.5,0.002991395,0.0,996.7371826,0.0
00:01:20,1.447937012,28.73089027,0.50322932,0.50322932,1.699228048,0.054406859,147.5518951,18.21873093,24.61079025,0.5,0.001730082,0.0,996.7374268,0.0
00:01:21,1.402552962,28.72971916,0.503199816,0.503199816,1.690752983,0.045938041,147.9143066,18.21873093,24.62126923,0.5,0.000468769,0.0,996.7374878,0.0
00:01:22,1.41881597,28.72854996,0.503170311,0.503170311,1.695114017,0.037469231,148.2767029,18.21873093,24.63174057,0.5,-0.000792544,0.0,996.7376709,0.0
00:01:23,1.459890008,28.72738075,0.503140688,0.503140688,1.706186056,0.02900042,148.5818939,18.21873093,24.64221001,0.5,-0.002053857,0.0,996.7379761,0.0
00:01:24,1.462671995,28.72620964,0.503111184,0.503111184,1.70302999,0.0205316,149.101593,18.21873093,24.65267944,0.5,-0.00331517,0.0,996.7382202,0.0
00:01:25,1.441037059,28.72504044,0.503081679,0.503081679,1.693560958,9.60167408,149.3925018,18.21873093,24.66315079,0.5,-0.003287016,0.0,996.7382813,0.0
00:01:26,1.458945036,28.72386932,0.503052175,0.503052175,1.706323981,16.80578041,149.3186035,18.21874046,24.67362976,0.5,-0.003258861,0.0,996.7385254,0.0
00:01:27,1.469066024,28.72270012,0.503022671,0.503022671,1.714565992,24.61854935,149.2447052,18.21874046,24.6840992,0.5,-0.003230707,0.0,996.7387085,0.000288582
00:01:28,1.431610942,28.72153091,0.502993226,0.502993226,1.711972952,30.93000031,149.2637024,18.21874046,24.69457054,0.5,-0.003202553,0.0,996.7388916,0.003892333
00:01:29,1.458961964,28.7203598,0.502963781,0.502963781,1.709380984,28.73636055,149.2398987,18.21874046,24.85165977,0.5,-0.003174399,0.0,996.7390747,0.0
00:01:30,1.394667029,28.7191906,0.502934277,0.502934277,1.706787944,23.94696045,148.9776001,18.21874046,24.85165977,0.5,-0.003146244,0.0,996.7393188,0.0
00:01:31,1.446128964,28.71801949,0.502904773,0.502904773,1.712113976,19.9557991,148.9490051,18.21874046,24.85165977,0.5,-0.00311809,0.0,996.7393799,0.0
00:01:32,1.426097989,28.71685028,0.502875328,0.502875328,1.714439988,16.62984085,148.9203949,18.21874046,24.85165977,0.5,-0.003089936,0.0,996.739624,0.0
00:01:33,1.484290957,28.71567917,0.502845824,0.502845824,1.716765046,17.86532021,148.7201996,18.21875,24.69457054,0.5,-0.003061781,0.0,996.7398071,0.0
00:01:34,1.471492052,28.71450996,0.502816319,0.502816319,1.721590042,14.8877697,148.5675964,18.21875,24.69457054,0.5,-0.003033627,0.0,996.7401123,0.0
00:01:35,1.497640014,28.71334076,0.502786815,0.502786815,1.720384955,12.4064703,148.3482056,18.21875,24.69457054,0.5,-0.003005473,0.0,996.7401733,0.0
00:01:36,1.508177042,28.71216965,0.502757311,0.502757311,1.733626962,10.33872986,148.2194977,18.21875,24.69457054,0.5,-0.002977318,0.0,996.7404175,0.0
00:01:37,1.467213035,28.71100044,0.502727687,0.502727687,1.724259973,8.615606308,148.114502,18.21875,24.69457054,0.5,-0.002949164,0.0,996.7406006,0.000288582
00:01:38,1.439013004,28.70982933,0.502698183,0.502698183,1.709414959,7.179671764,148.1192932,18.21875,24.65703011,0.5,-0.00292101,0.0,996.7407837,0.002090457
00:01:39,1.425089955,28.70866013,0.502668679,0.502668679,1.702448964,6.082777977,148.2575989,18.21875,24.65703011,0.5,-0.002892855,0.0,996.7410278,0.003892333
00:01:40,1.387421012,28.70749092,0.502639174,0.502639174,1.68858397,4.985883236,148.5722961,18.21875954,24.65703011,0.5,-0.002864701,0.0,996.7410889,0.002450833
00:01:41,1.365463972,28.70631981,0.50260973,0.50260973,1.683184981,4.154901981,148.7248993,18.21875954,24.65703011,0.5,-0.002836547,0.0,996.741272,0.001009332
00:01:42,1.395923972,28.7051506,0.502580225,0.502580225,1.682677031,12.53240013,148.6820068,18.21875954,24.65703011,0.5,-0.002808393,0.0,996.7415161,0.0
00:01:43,1.378615975,28.70397949,0.502550721,0.502550721,1.679589987,22.55134964,148.5102997,18.21875954,24.50606918,0.5,-0.002780238,0.0,996.7416992,0.0
00:01:44,1.412436962,28.70281029,0.502521217,0.502521217,1.676502943,28.47694969,148.3386993,18.21875954,24.50606918,0.5,-0.002752084,0.0,996.7418823,0.002450833
00:01:45,1.427487016,28.70163918,0.502491772,0.502491772,1.683982968,35.90488052,148.2290039,18.21875954,24.50606918,0.5,-0.002723929,0.0,996.7421265,0.002162533
00:01:46,1.436090946,28.70046997,0.502462327,0.502462327,1.685500026,40.76686096,148.0812073,18.21875954,24.50606918,0.5,-0.002695775,0.0,996.7423096,0.001874233
00:01:47,1.470448017,28.69930077,0.502432823,0.502432823,1.696179986,44.08813095,148.1049957,18.21876907,24.50606918,0.5,-0.002667621,0.0,996.7424927,0.001585932
00:01:48,1.445634961,28.69812965,0.502403319,0.502403319,1.699416041,45.47809982,148.1551056,18.21876907,24.69457054,0.5,-0.002639467,0.0,996.7426758,0.001297632
00:01:49,1.425601959,28.69696045,0.502373815,0.502373815,1.695359945,40.22898865,148.2052002,18.21876907,24.69457054,0.5,-0.002611312,0.0,996.7429199,0.001009332
00:01:50,1.483315945,28.69578934,0.50234431,0.50234431,1.704545975,33.52415848,148.4436035,18.21876907,24.69457054,0.5,-0.002583158,0.0,996.742981,0.001297632
